employee_id,employee_name,department,team,designation,employment_type,experience_years,joining_date,location,manager_id,skill_primary,skill_secondary,grade_level,employment_status,cost_center,capacity_hours_monthly
EMP0001,Employee 0001,Data & Analytics,Team A,Junior Engineer,Full-Time,5,2021-01-31,Bengaluru,EMP0076,Testing,Python,G3,Active,CC-103,160
EMP0002,Employee 0002,Data & Analytics,Team B,Lead Engineer,Full-Time,4,2020-08-10,Noida,EMP0029,Excel,Testing,G3,Active,CC-100,160
EMP0003,Employee 0003,QA,Team C,Support Engineer,Full-Time,6,2022-09-28,Bengaluru,EMP0012,Testing,SQL,G4,Active,CC-145,160
EMP0004,Employee 0004,DevOps,Team E,Designer,Full-Time,9,2020-12-19,Bengaluru,EMP0119,Testing,SQL,G5,Active,CC-170,160
EMP0005,Employee 0005,Design,Team E,Finance Analyst,Full-Time,3,2025-01-18,Pune,EMP0091,Java,Python,G2,Active,CC-184,160
EMP0006,Employee 0006,Product,Team A,HR Executive,Intern,3,2021-03-31,Noida,EMP0036,Excel,Analytics,G2,Active,CC-120,100
EMP0007,Employee 0007,DevOps,Team A,Data Scientist,Full-Time,9,2020-05-08,Hyderabad,EMP0069,React,Cloud,G5,Active,CC-159,160
EMP0008,Employee 0008,Support,Team C,Data Analyst,Full-Time,6,2025-03-06,Delhi,EMP0030,Python,Analytics,G4,Active,CC-151,160
EMP0009,Employee 0009,Design,Team C,Software Engineer,Contract,3,2020-05-14,Pune,EMP0084,Excel,UI/UX,G2,Active,CC-182,160
EMP0010,Employee 0010,Finance,Team E,Senior Engineer,Full-Time,6,2020-12-20,Mumbai,EMP0096,Data Science,UI/UX,G4,Active,CC-174,160
EMP0011,Employee 0011,SUPPORT,Team D,Data Scientist,Intern,3,2020-06-17,Bengaluru,EMP0097,Python,SQL,G2,Active,CC-119,100
EMP0012,Employee 0012,QA,Team D,HR Executive,Full-Time,3,2025-08-19,Remote,EMP0068,AWS,Python,G2,Active,CC-187,160
EMP0013,Employee 0013,Data & Analytics,Team C,DevOps Engineer,Full-Time,5,2024-01-09,Bengaluru,EMP0038,Testing,,G3,Active,CC-158,160
EMP0014,Employee 0014,Engineering,Team E,Support Engineer,Intern,0,2020-12-14,Bengaluru,EMP0112,AWS,Agile,G1,Active,CC-119,100
EMP0015,Employee 0015,DevOps,Team E,HR Executive,Full-Time,0,2019-10-24,Delhi,EMP0077,Power BI,DevOps,G1,Active,CC-102,160
EMP0016,Employee 0016,Data & Analytics,Team C,Sales Executive,Contract,2,2022-01-26,Pune,EMP0008,React,SQL,G2,Active,CC-110,160
EMP0017,Employee 0017,Finance,Team B,Finance Analyst,Intern,1,2018-10-11,Hyderabad,EMP0085,Excel,Cloud,G1,Active,CC-133,100
EMP0018,Employee 0018,HR,Team E,Finance Analyst,Full-Time,5,2024-10-20,Pune,EMP0092,AWS,UI/UX,G3,Active,CC-185,160
EMP0019,Employee 0019,DevOps,Team A,Product Analyst,Full-Time,1,2023-10-21,Chennai,EMP0003,Data Science,Agile,G1,Active,CC-175,160
EMP0020,Employee 0020,Product,Team A,Junior Engineer,Full-Time,0,2018-10-18,Delhi,EMP0111,Power BI,SQL,G1,Active,CC-165,160
EMP0021,Employee 0021,Product,Team E,Data Analyst,Full-Time,8,2025-07-03,Remote,EMP0032,Excel,UI/UX,G5,Active,CC-124,160
EMP0022,Employee 0022,DATA & ANALYTICS,Team D,Software Engineer,Full-Time,3,2025-05-23,Delhi,EMP0087,Java,Python,G2,Active,CC-151,160
EMP0023,Employee 0023,DevOps,Team D,HR Executive,Full-Time,4,2019-03-24,Hyderabad,EMP0055,SQL,Testing,G3,Active,CC-159,160
EMP0024,Employee 0024,Product,Team E,Finance Analyst,Full-Time,0,2018-11-05,Bengaluru,EMP0007,Node.js,Python,G1,Active,CC-111,160
EMP0025,Employee 0025,Product,Team D,Senior Engineer,Full-Time,2,2022-07-23,Delhi,EMP0022,Testing,Python,G2,Active,CC-149,160
EMP0026,Employee 0026,Design,Team E,Sales Executive,Full-Time,4,2023-02-07,Remote,EMP0020,React,Testing,G3,Active,CC-127,160
EMP0027,Employee 0027,Engineering,Team A,Designer,Full-Time,1,2024-01-30,Remote,EMP0065,Node.js,Cloud,G1,Active,CC-107,160
EMP0028,Employee 0028,HR,Team B,Software Engineer,Full-Time,5,2020-02-01,Noida,EMP0016,Data Science,Agile,G3,Active,CC-174,160
EMP0029,Employee 0029,Sales,Team E,Junior Engineer,Full-Time,2,2024-12-11,Chennai,EMP0120,AWS,Agile,G2,Active,CC-185,160
EMP0030,Employee 0030,DevOps,Team C,Lead Engineer,Full-Time,3,2020-12-23,Remote,EMP0041,Java,,G2,Active,CC-158,160
EMP0031,Employee 0031,Sales,Team C,Designer,Full-Time,2,2019-02-14,Hyderabad,EMP0120,Power BI,SQL,G2,Active,CC-131,160
EMP0032,Employee 0032,DevOps,Team C,Data Analyst,Full-Time,10,2019-10-09,Delhi,EMP0086,Node.js,Testing,G6,Active,CC-184,160
EMP0033,Employee 0033,Data & Analytics,Team E,Sales Executive,Full-Time,4,2019-07-05,Hyderabad,EMP0035,AWS,Agile,G3,Active,CC-191,160
EMP0034,Employee 0034,DevOps,Team D,Lead Engineer,Full-Time,1,2025-09-16,Mumbai,EMP0116,Python,SQL,G1,Active,CC-181,160
EMP0035,Employee 0035,Support,Team B,Finance Analyst,Full-Time,6,2021-02-07,Mumbai,EMP0021,Excel,UI/UX,G4,Active,CC-171,160
EMP0036,Employee 0036,Engineering,Team B,Software Engineer,Contract,0,2018-11-05,Delhi,EMP0107,Power BI,Cloud,G1,Active,CC-155,160
EMP0037,Employee 0037,QA,Team A,Junior Engineer,Full-Time,5,2021-06-16,Chennai,EMP0027,React,SQL,G3,Active,CC-145,160
EMP0038,Employee 0038,HR,Team B,Sales Executive,Intern,0,2022-07-23,Hyderabad,EMP0103,SQL,UI/UX,G1,Active,CC-103,100
EMP0039,Employee 0039,QA,Team B,Support Engineer,Full-Time,0,2021-09-22,Mumbai,EMP0021,Java,UI/UX,G1,Active,CC-104,160
EMP0040,Employee 0040,Finance,Team C,Lead Engineer,Full-Time,5,2020-03-28,Pune,EMP0029,Python,Agile,G3,Active,CC-151,160
EMP0041,Employee 0041,DevOps,Team E,Data Analyst,Contract,6,2018-10-12,Noida,EMP0087,Node.js,Analytics,G4,Active,CC-103,160
EMP0042,Employee 0042,Data & Analytics,Team C,Sales Executive,Full-Time,5,2020-12-05,Delhi,EMP0014,Data Science,UI/UX,G3,Inactive,CC-144,160
EMP0043,Employee 0043,DevOps,Team E,QA Engineer,Intern,4,2024-10-19,Pune,EMP0033,Python,UI/UX,G3,Active,CC-100,100
EMP0044,Employee 0044,HR,Team B,Sales Executive,Full-Time,3,2024-01-15,Chennai,EMP0056,Java,Analytics,G2,Inactive,CC-179,160
EMP0045,Employee 0045,DevOps,Team C,DevOps Engineer,Full-Time,0,2019-05-26,Noida,EMP0042,Testing,Testing,G1,Active,CC-170,160
EMP0046,Employee 0046,QA,Team B,Lead Engineer,Full-Time,2,2022-09-19,Mumbai,EMP0052,Node.js,Python,G2,Active,CC-138,160
EMP0047,Employee 0047,Design,Team C,Lead Engineer,Full-Time,3,2022-10-27,Remote,EMP0057,Excel,Agile,G2,Active,CC-165,160
EMP0048,Employee 0048,Finance,Team E,HR Executive,Full-Time,7,2019-11-27,Chennai,EMP0012,React,Testing,G4,Active,CC-128,160
EMP0049,Employee 0049,Product,Team E,Senior Engineer,Full-Time,5,2018-04-11,,EMP0059,Testing,Agile,G3,On Leave,CC-191,160
EMP0050,Employee 0050,Support,Team A,Product Analyst,Full-Time,0,2022-06-25,Bengaluru,EMP0100,Testing,Agile,G1,Active,CC-122,160
EMP0051,Employee 0051,HR,Team A,Product Analyst,Full-Time,5,2018-07-25,Remote,EMP0018,Excel,Analytics,G3,Active,CC-196,160
EMP0052,Employee 0052,Finance,Team D,Designer,Full-Time,3,2023-08-30,Hyderabad,EMP0096,Excel,DevOps,G2,Active,CC-133,160
EMP0053,Employee 0053,Product,Team D,Finance Analyst,Full-Time,2,2025-02-24,Pune,EMP0036,Excel,SQL,G2,Active,CC-191,160
EMP0054,Employee 0054,Design,Team A,Lead Engineer,Full-Time,6,2021-01-17,Hyderabad,EMP0020,React,UI/UX,G4,Active,CC-188,160
EMP0055,Employee 0055,QA,Team E,Support Engineer,Full-Time,7,2020-05-26,Remote,EMP0054,Python,Agile,G4,Active,CC-153,160
EMP0056,Employee 0056,Support,Team E,Sales Executive,Contract,7,2024-07-20,Noida,EMP0062,Python,Analytics,G4,Active,CC-138,160
EMP0057,Employee 0057,Support,Team E,Finance Analyst,Full-Time,1,2022-09-13,Pune,EMP0063,React,Testing,G1,Active,CC-155,160
EMP0058,Employee 0058,Finance,Team D,Junior Engineer,Full-Time,3,2022-05-12,Hyderabad,EMP0108,Excel,Cloud,G2,Active,CC-179,160
EMP0059,Employee 0059,HR,Team A,Junior Engineer,Full-Time,5,2022-06-02,Noida,EMP0018,Excel,Cloud,G3,Active,CC-106,160
EMP0060,Employee 0060,Design,Team D,QA Engineer,Full-Time,7,2021-09-02,Mumbai,EMP0097,Testing,Testing,G4,Active,CC-110,160
EMP0061,Employee 0061,Finance,Team B,Junior Engineer,Full-Time,3,2024-01-19,Bengaluru,EMP0100,Python,Python,G2,Inactive,CC-131,160
EMP0062,Employee 0062,Product,Team D,Finance Analyst,Full-Time,3,2018-03-25,Bengaluru,EMP0073,React,DevOps,G2,Active,CC-189,160
EMP0063,Employee 0063,Design,Team A,HR Executive,Full-Time,1,2022-02-19,Hyderabad,EMP0040,Java,Python,G1,Active,CC-139,160
EMP0064,Employee 0064,Sales,Team A,DevOps Engineer,Full-Time,0,2022-03-18,Pune,EMP0014,AWS,SQL,G1,Active,CC-172,160
EMP0065,Employee 0065,Engineering,Team E,Data Scientist,Full-Time,6,2023-12-23,Chennai,EMP0002,Testing,DevOps,G4,Active,CC-113,160
